layer1node1,layer1node2,layer2node1
0.06273382,0.02016789,-0.78669894
0.031075496,0.0,0.6179867
0.021335369,0.0,
0.0,-0.017195081,
-0.015628668,-0.08787307,
0.07563504,0.02053654,
0.08354831,0.025904423,
-0.0592883,-0.020898884,
-0.024709253,-0.03792618,
0.073598176,0.03274182,
0.045169815,0.054634683,
-0.027164284,-0.0126314685,
0.0,0.09614871,
0.102425896,-0.028241454,
0.039392997,-0.08282268,
0.0,-0.14752498,
0.111765504,-0.05953164,
0.047666065,-0.096019804,
0.019709093,0.04405446,
-0.046645742,-0.04720069,
-0.055396803,0.0,
0.0,0.025645029,
-0.077198416,0.047666926,
-0.054540526,0.01250669,
-0.061986253,0.02570498,
-0.045976683,-0.043844163,
-0.13856062,0.09989718,
0.0,0.0,
0.038180213,0.026932722,
-0.010965214,-0.013506743,
0.014738102,0.06718506,
0.061201613,0.052277416,
-0.01836031,0.07567024,
-0.10440698,-0.045461554,
0.0268799,-0.012626783,
0.084730834,-0.013065247,
0.015390915,0.052680135,
0.027466634,0.09932737,
0.0,0.041328747,
-0.011619407,0.024690734,
0.020337477,0.048879657,
0.0,-0.015161204,
0.0,0.031418867,
0.08741014,-0.04633988,
-0.15735224,0.07293844,
0.0,0.056325443,
-0.13785975,0.0,
0.0,0.0,
0.019750448,0.0,
-0.060402237,0.091258496,
0.03965569,-0.04472907,
0.040081024,0.0,
0.03695046,0.02705909,
-0.02056332,-0.05044569,
-0.017745525,-0.0115535045,
-0.08558193,-0.065287255,
0.0,0.06997949,
0.014076409,0.0,
-0.06594449,0.052551705,
0.012921026,0.0,
0.05001625,-0.041687485,
0.0,0.0,
0.11406743,0.047649875,
-0.07743028,0.0,
0.0,0.0,
0.0,0.11374741,
0.04545596,0.050503224,
-0.017218778,-0.04393537,
0.044157125,0.02777745,
0.16378579,0.059310734,
0.01393536,0.0,
0.018862998,-0.05372766,
0.029813949,-0.06959974,
0.024714837,-0.13744597,
-0.014371973,0.0,
0.0,-0.040763028,
-0.0716872,-0.07573564,
-0.09728343,-0.030161517,
-0.05076226,-0.06931381,
-0.09427978,0.06063223,
0.05569376,0.026224852,
0.042947527,-0.042419977,
0.010945167,0.027754344,
0.04696579,0.08847637,
0.018536685,-0.050982926,
0.0,-0.038055193,
0.098719865,-0.022014732,
0.011347297,0.02390809,
-0.014139504,0.05591201,
-0.042701278,-0.020123014,
-0.016049517,0.046714034,
0.014441629,0.025822598,
0.033723682,0.018097425,
-0.069179215,0.030190568,
0.09931724,-0.03432018,
0.05602442,-0.03638735,
0.05166387,-0.06924053,
-0.01899077,-0.07436069,
0.090757184,0.08593924,
-0.08075048,0.019442588,
-0.089155,0.015679866,
0.0,0.0,
0.017644385,-0.0864388,
0.05351469,0.07080672,
-0.037408933,0.038814604,
0.020568522,0.030876853,
-0.05088917,0.0,
0.035439566,0.015725425,
-0.041831933,0.12456145,
0.030814078,-0.013853566,
0.014673036,-0.086827256,
-0.011897571,-0.027708596,
0.03656702,0.01964566,
-0.05944554,0.07553121,
0.0,-0.059729453,
0.044379026,0.0,
0.059649963,0.034505337,
0.04549704,0.049534746,
0.01185193,0.040072948,
0.0,-0.037509874,
-0.0147231985,0.02096282,
0.017821088,0.0126744695,
0.035235614,0.13172834,
0.038170952,-0.057571698,
