layer1node1,layer1node2,layer2node1
0.54711163,0.34263906,1.4645014
0.54465175,0.32738498,0.9278732
0.3637154,0.37258253,
0.41718367,0.24801752,
0.42056704,0.23881847,
0.34244165,0.27803868,
