,W_1_0,W_1_1,W_1_2
W_1_0,0.0018639656135198109,-4.219667961440468e-05,-2.7195957749956333e-06
W_1_1,-4.219667961440468e-05,0.0016522791523168406,1.8350573380210558e-06
W_1_2,-2.7195957749956333e-06,1.8350573380210558e-06,0.0015981949029897767
