,W_1_0,W_1_1,W_1_2
W_1_0,1.0,0.06501583674826837,-0.05132927867373659
W_1_1,0.06501583674826837,1.0,-0.15949270703043156
W_1_2,-0.051329278673736586,-0.15949270703043153,0.9999999999999999
