Training Error,Validation Error
0.26216581516684384,0.25437185467866363
0.25007268988173437,0.236511947459014
0.2333470279373486,0.22266390919685364
0.22359279336548654,0.21797121737999892
0.2187947125968034,0.21669744641061814
0.2157406465791298,0.21615203079723178
0.21327444755173977,0.21571581625433825
0.21078261364352247,0.21510600649490558
0.20837346339871346,0.21494361095958286
0.20577598824387505,0.21470646410392075
0.20314639414391933,0.214769858531851
0.20062556578999474,0.21496746290928473
0.19836472486859721,0.21542363586249175
0.19618948282592213,0.2166166534184148
0.19426049563397213,0.2172972444819395
0.1926841116836425,0.21839750175753597
0.1910592075211216,0.21942758339422722
0.18968957456665325,0.219908501263018
0.18826636246272496,0.2211442767943024
0.18692573708813398,0.22197905103996318
0.18565485589588834,0.22312219338442282
0.18434364667960576,0.223664988916387
0.1831927138383315,0.22448702464028011
0.18205725236767145,0.22555347378291782
0.1808725450636626,0.22537217190656714
0.1798227116479482,0.22719169388372432
0.1785888808782027,0.22743037232646235
0.17760498447467188,0.2290925244805674
0.17670820657612563,0.22912621245813117
0.17545634595786824,0.23104698159707288
0.17460077405532423,0.23107542326210667
0.17383798622951455,0.23252536947765048
0.17292866429416628,0.23243592340479452
0.1719504695674396,0.2341262646137722
0.17138303049694814,0.23504731137916524
0.170224127510126,0.23632332524925312
0.1696939722301802,0.23575375871683554
0.1685474465986371,0.23964041124575983
0.16780880975678744,0.24035953939276397
0.16727103253984762,0.23987181886794076
0.16646485577444403,0.24164963446596943
0.16570165212136578,0.24098332991044988
0.1649335418679133,0.24204384224124686
0.1640996041557257,0.24310151925162662
0.16351235424882335,0.24280300831037854
0.16271258715321035,0.24464855213013906
0.16232570804773816,0.24293063888474117
0.1617482219701833,0.2457281248594718
0.1608003253807652,0.2465628715103896
0.1601192530881123,0.24550980928713684
0.15940046059289456,0.24746961820693242
0.1590520094673173,0.24629575692156636
0.15842285429507522,0.24565390320051284
0.15812916961175943,0.2483857441200781
0.15727411984117315,0.24553386259962012
0.15643894875528208,0.24700963875604054
0.15648428480080864,0.2475830482112037
0.15591780664651445,0.24932231363796054
0.15531000444869034,0.2481806035395022
0.15504312646043958,0.24985809332479245
0.1544082149320624,0.2488772284101557
0.15409483334152194,0.24928415862340775
0.15350402973724458,0.24891049095562526
0.15307739169713386,0.24986879298926662
0.15258441212909674,0.2507671582951117
0.15238054155134687,0.24992827148664565
0.15188018600591202,0.2509099754391524
0.1514041509086233,0.24975563183663382
0.15076432524581138,0.24894179522045076
0.15060765155000624,0.2499447610012438
0.1495834620031211,0.2515595414966503
0.14989328967367346,0.25188375638906285
0.14960302320682034,0.25114326060764375
0.14879362524446207,0.25148088875271024
0.14877272418845378,0.25390851954934457
0.14803758251065968,0.2529860813781698
0.14786797486433462,0.254676180699515
0.14703010726654006,0.25124521782158543
0.1471901595954245,0.2531091430515209
0.14692383944765638,0.2527539165562423
0.14649097894141877,0.25242349899635114
0.1465423718637445,0.25396372433061953
0.1457789586135208,0.252629973270275
0.1451398268773331,0.25504799541972933
0.14520152213693666,0.25489215876059557
0.14473616396512637,0.25416401359770036
0.14457951826986923,0.2567517186598803
0.14425940831112705,0.2545473072579298
0.14411980058410032,0.2538592624601233
0.1436877956354763,0.25490801643442224
0.1436352287145222,0.2542689226607166
0.1429897663779174,0.2526339412366272
0.14291371237469208,0.254299012599168
0.14258843493394824,0.2568424058654321
0.14216818076834067,0.25599695261193334
0.14143812916581594,0.25456370626177105
0.14176112655498066,0.2575059821681371
0.1408821422429312,0.258893257568753
0.14108521102411964,0.2586889199163548
0.14098206094277452,0.2568042038609742
