layer1node1,layer1node2,layer1node3,layer2node1
0.018117711,-0.023705484,-0.11603932,-0.6080736
0.029383285,-0.10857092,-0.026183864,-0.7318252
0.01588383,-0.0468576,-0.036556575,-0.7408826
-0.049661446,0.026725624,0.022422427,
-0.12080304,-0.032969777,0.05030105,
0.01636213,-0.021146964,0.007864471,
-0.13807389,0.04621825,-0.021287056,
-0.0126315495,-0.012972015,0.036837418,
-0.060524017,-0.019360939,-0.054954622,
-0.04133469,0.019273976,-0.055584326,
-0.01525022,-0.052428212,0.009112801,
-0.018660637,0.06813993,0.0679091,
0.042970367,0.03239131,0.0071107945,
0.013455822,0.012225052,-0.01008512,
-0.049381383,0.009365666,0.034177393,
-0.0024009242,0.055438526,0.03041771,
0.01753221,-0.0074076955,0.056289308,
0.014497165,0.021170752,-0.048345942,
-0.055148777,0.058778826,0.06916824,
-0.058569886,-0.015917448,-0.045542073,
-0.042600695,0.043792613,0.08575141,
-0.07975331,0.057770304,0.060195222,
0.04682641,0.10902307,-0.021443969,
-0.06240709,0.04786106,0.054366853,
-0.062402025,0.024347438,-0.01383701,
0.05837298,-0.032512147,0.039360933,
-0.02800369,0.05741789,-0.006726662,
-0.0067604533,0.04732978,-0.0021750845,
-0.0048108804,0.06216663,-0.0053236545,
0.039914,0.05543878,-0.006678897,
-0.06562724,-0.060549546,0.052056342,
0.062459506,0.06393845,-0.10315801,
-0.09268856,-0.0008650635,-0.02467449,
0.039058935,-1.7095008e-06,-0.008969202,
0.030169088,0.012919657,-0.028033786,
0.007160628,-0.010013972,-0.0077311085,
-0.032297205,0.00989854,0.0017814887,
-0.04255125,-0.0355159,0.04227963,
0.050228152,-0.036910232,-0.01852002,
-0.03449563,0.046628766,0.038031757,
0.07530564,0.10294889,0.0046642837,
0.092042975,0.0026478518,0.084056295,
0.039578047,0.06595845,-0.02497846,
0.03272618,0.07363948,-0.0075818487,
0.035518624,0.02313718,-0.005578859,
-0.0220325,0.030936878,-0.006441541,
-0.053628348,0.031291917,-0.0472424,
0.10010381,-0.035661384,0.01765124,
0.09640445,-0.017408054,-0.04708654,
0.012521025,-0.029972006,0.035412155,
-0.024401689,0.03688516,0.0430813,
0.0056188763,-0.0040264344,-0.00034419724,
0.00839115,-0.0012566902,-0.029110711,
-0.052785967,0.01958476,0.0056179375,
0.017467968,-0.056935135,0.033414777,
-0.021327296,0.08708122,-0.06825018,
