layer1node1,layer1node2,layer1node3,layer1node4,layer2node1
0.16662085,-0.06383699,-0.0692788,-0.115516834,-1.6784606
-0.7977154,-0.2627635,-0.30914405,-0.20761119,-0.50004166
-1.0642207,-0.34167817,-0.4754795,-0.10840938,-0.6679248
,,,,-0.26830867
