layer1node1,layer1node2,layer2node1
-0.048965417,0.012245527,-0.471222
-0.017816529,-0.055572234,-0.3811158
-0.025223978,0.004832998,
-0.04153171,-0.0006152995,
-0.02749059,-0.026897907,
-0.052342914,-0.011293241,
0.0034776793,0.046248157,
-0.03818355,0.029660229,
-0.020202657,0.014332067,
0.08757307,-0.040265977,
-0.0666685,0.042987775,
-0.035680786,-0.01923658,
0.01774747,0.015230788,
-0.004269987,0.030950196,
-0.0050860364,0.095235676,
0.057395224,-0.003387697,
0.040041033,-0.023535343,
0.030279892,0.01263464,
0.041518748,-0.08948724,
0.068034425,-0.0008471954,
0.01996991,0.0081338,
0.06636695,0.030618653,
0.000950387,0.003745156,
-0.035951275,-0.06575875,
-0.07115681,0.015292681,
-0.105536625,-0.013203443,
0.013320532,-0.03437253,
0.019306663,-0.05147404,
-0.0727383,0.026432823,
0.12241112,0.092487834,
0.020750035,-0.008142062,
-0.054619744,0.003054393,
0.10490939,0.06850805,
-0.014331452,0.013836247,
-0.04856792,0.008886278,
-0.072300375,-0.0021303736,
-0.043568995,-0.118386604,
0.04594709,0.017304461,
0.038589936,0.0125741875,
-0.024422176,0.028760478,
0.05414824,-0.006740039,
0.0031790757,-0.0066848025,
-0.041486,-0.020652412,
-0.00976709,-0.04522331,
-0.06985981,0.028805422,
-0.067753986,-0.022710755,
-0.02598572,-0.07039618,
-0.017615624,-0.12407868,
-0.007275495,-0.00017800942,
-0.0472424,-0.011008293,
0.009454294,-0.015624488,
-0.006417521,0.014023322,
0.027803453,-0.038267877,
-0.03551723,0.052383896,
0.008687655,-0.05395205,
-0.12195211,-0.0445758,
-0.007707236,-0.0028084342,
-0.09376055,0.03507575,
-0.0566794,-0.015783712,
-0.028043943,-0.021119803,
-0.051516525,-0.015709313,
-0.052733433,0.071397886,
0.0019207867,0.023742406,
-0.008796505,0.01428714,
0.060921904,-0.0203803,
-0.043011468,0.028057,
0.02579871,-0.0804659,
0.0041254302,-0.072390564,
0.07676962,0.003988394,
0.0657842,-0.0048891427,
-0.05936304,-0.017820587,
0.049919695,0.009752737,
0.04631707,-0.005280202,
0.01432184,0.033444427,
-0.037442017,0.038931213,
0.05406572,0.016381154,
0.07688548,0.0049250005,
-0.12770861,-0.00066950585,
0.07361612,-0.009825949,
-0.028880363,0.019697972,
0.07780284,0.053220708,
-0.0038684292,0.0028334623,
-0.029109163,0.0851149,
-0.090987585,0.12237213,
-0.016577817,-0.070250735,
-0.053354166,-0.05445441,
-0.021427076,0.0038239642,
0.04436542,-0.03607313,
-0.08603691,-0.01772592,
-0.04584308,0.0419621,
0.0013027673,0.027965957,
-0.0043614632,0.05360057,
0.016590305,-0.08720043,
-0.07612575,0.045033496,
0.027370492,-0.07686163,
-0.007034388,0.06352851,
0.0108943805,-0.006399028,
0.028390184,0.062029358,
-0.044658802,0.017131748,
0.055200744,0.022989566,
-0.03619852,0.04650583,
-0.035056483,-0.02836837,
-0.026549445,0.048207853,
-0.0014120033,0.021419872,
0.018909875,-0.03695933,
-0.04602782,0.012059473,
-0.08373349,0.0071054157,
-0.0075887814,0.10119683,
0.020734351,0.008667329,
0.00855196,0.034480542,
0.02774786,-0.03423731,
0.04157682,0.033461228,
0.028122967,-0.01846341,
