Training Error,Validation Error
0.2501395646653144,0.25205049076408303
0.23492835349395497,0.24071911497721596
0.22286972950319617,0.23241896525261893
0.214706398052773,0.2298648387351364
0.2101043686896813,0.22871546234403337
0.20686070374747953,0.22651171952328353
0.20410843239444978,0.22568642367761602
0.20169596852652943,0.2243216214356599
0.1996227097945387,0.22461373670391305
0.19768139189865744,0.22474806680881157
0.19573002632091693,0.22329847238681935
0.19401053150717507,0.22510613682408812
0.19227788824828065,0.22425586931289188
0.19050647457496347,0.22370074854956734
0.18895566222770097,0.2225158242952256
0.18739093474202018,0.22454737387006246
0.18600841794583867,0.2236960766807435
0.18444964213141984,0.22576634499131057
0.18316782429383027,0.2243600121881596
0.18184441069261031,0.22436672764480428
0.1805587036102092,0.22475759346018392
0.17923357163101128,0.22355862395473258
0.17795429871974985,0.22485645738228288
0.17709735920783184,0.22600038578270604
0.17608417122582204,0.225486280110778
0.17503664003255542,0.2258300798595267
0.1740728919607362,0.22596543617349454
0.17336575638235005,0.22632536039781317
0.17248510780120765,0.2266623253229434
0.17191159878235682,0.22739014344871358
0.1706258538348668,0.2286499540011088
0.17024804193989124,0.22627227631195512
0.16948392618548414,0.22960623862251403
0.16868890589581373,0.23162581633638452
0.1684171335648199,0.23157518219064782
0.16766951523241208,0.23270321491534118
0.167150316855598,0.22925473789058665
0.16648498013351254,0.2307148569475406
0.1657204465065795,0.23008157368059512
0.1655288335461131,0.23155424913401326
0.16495241885648276,0.2323953903541363
0.1642439219018881,0.23267625264389805
0.1637967805318138,0.2353833100152394
0.16266524865458104,0.2370854619318846
0.16241269559363802,0.23442133283488964
0.16201864818787598,0.23595923311495906
0.16180532501469586,0.2363389927558798
0.16070417164504028,0.23622050928691077
0.1604598228281397,0.23432682367859695
0.1601183736830755,0.2364422715214825
0.15957606790446432,0.2363141863434403
0.15936021374609846,0.23830547108852043
0.1586451253442426,0.2381517354142729
0.15801692973164952,0.2362949405082319
0.15759615700284973,0.23365713427306484
0.15715262093463866,0.2359602124918075
0.1566412248948709,0.2397700791005735
0.15615868839730068,0.2415237067237733
0.15580738179323053,0.24062953093064526
0.15531876832107647,0.2399840266616256
0.15479686790877253,0.24286500029462985
0.15469986642776085,0.24211368374723605
0.15402373696575647,0.2437525213395477
0.1535587402758033,0.2419126498951483
0.1531726769428182,0.24064291296181856
0.15265186004389344,0.23940231639241416
0.15207009231732563,0.24010682941744568
0.15172330221208205,0.24318780580525676
0.151454886746785,0.24203071628928816
0.15094326017728818,0.24037896451495944
0.15058769985518647,0.24782888047278873
0.15018904740625624,0.24350832662885152
0.1498203977427674,0.24317020130535913
0.1495540335871815,0.24396298502488112
0.1491757919864049,0.24696474762820692
0.14856781505124797,0.24511156116843855
0.14797385835569668,0.24622865312944645
0.1480170059827418,0.2506779657785224
0.14719412630957826,0.24558318150106562
0.1474870381429861,0.24657623272724252
0.14624339895867278,0.24728505447428062
0.14591187014688853,0.24889252740870077
0.14573086098351287,0.24775081179129382
0.14539063680850936,0.24613787872450693
0.14516060484223672,0.24705951759424158
0.14490904119891834,0.24990483755787846
0.14374166562888913,0.247929253748485
0.14395092742867163,0.24850539965604349
0.14376822122338773,0.25010573627456784
0.14348647229366499,0.25124684543836684
0.14264640573805232,0.25170364376729126
0.14259551963608028,0.25101007371352463
0.14194886577702592,0.2495881345852342
0.1417365172246591,0.25076166804505406
0.14180254243335136,0.25164920943123953
0.1409663150415701,0.25364600413690797
0.14096963477958374,0.24990599291034477
0.14046847603234255,0.2543901165641805
0.14006739874291263,0.2511766292746105
0.13985466685782627,0.25122243954391077
