layer1node1,layer1node2,layer1node3,layer1node4,layer1node5,layer2node1
-0.06788837,0.023670632,0.041163266,0.06637217,-0.015429524,0.5569523
-0.03668616,0.056330036,-0.10963292,-0.066071056,0.041583195,-0.75441146
0.05517206,-0.086716555,0.039073568,0.035633314,0.023157975,0.7974844
-0.032331318,0.038649946,-0.06573912,0.042616133,0.03562018,-0.66428703
-0.024023863,0.09037004,-0.010677098,0.0,0.09597401,-0.5760627
-0.017967232,0.14162429,-0.016469872,0.10862467,-0.011410329,
0.042940278,0.0985746,0.027553404,-0.09740148,0.043965124,
-0.018184219,0.026230348,0.018896332,-0.048340492,-0.017841784,
0.06299466,0.024023402,0.045813404,-0.07056657,0.011388043,
0.03009142,0.03634488,-0.034132544,0.016547121,-0.049822215,
0.0,-0.04319672,-0.0460716,-0.06200477,-0.03573744,
0.010497271,-0.03967637,0.07391123,-0.0801885,-0.025123175,
-0.014734955,-0.011452322,0.022982549,-0.02938534,-0.060110327,
0.09438592,-0.069319844,0.0,-0.013415884,-0.056041855,
0.0,0.03186396,-0.02934509,0.010491245,0.0,
0.03436173,0.01133499,0.07061564,-0.03605853,0.016420452,
0.040716246,0.026589733,0.0,0.011445276,-0.07265186,
0.0,0.021272756,0.017409332,0.012623225,0.031690154,
-0.05661683,0.06559264,-0.06772156,-0.041494552,0.028007733,
-0.020704407,0.0122873895,0.0,-0.08540388,-0.061525177,
0.044837996,0.05059195,-0.030280963,-0.047845792,0.0,
0.0,0.026598155,0.072264984,0.041328173,0.0,
0.02808876,0.09624685,-0.052069154,0.022089506,-0.016219975,
0.0,-0.020389125,0.05525465,-0.1001427,-0.013795851,
0.030675234,-0.046591368,0.010857383,-0.034765963,-0.02441424,
0.0,0.037749194,0.0,-0.023465272,-0.011122052,
-0.05453976,0.052366998,-0.09334822,-0.037840877,0.08765019,
-0.046921704,0.053919982,-0.028459704,-0.043394696,0.028248286,
-0.024334721,-0.040364992,0.024290772,-0.010755647,0.019664623,
-0.04003252,0.0,-0.04476423,0.06169506,0.024847496,
0.014601319,-0.03431622,0.087689385,0.08566698,0.0,
-0.010229992,0.033884898,-0.018285418,0.038039543,0.02090565,
0.039141063,-0.035821505,0.0,-0.041729733,-0.054579396,
-0.01663302,-0.023597805,-0.07952056,0.05456801,0.0,
-0.03408186,0.022915315,0.024584316,-0.025019823,-0.09515836,
-0.010879483,-0.010197227,0.016016103,0.056712244,0.024979215,
-0.054624427,-0.045512162,-0.013956485,-0.02320025,-0.013940206,
0.08496226,0.037013568,-0.038260143,0.0,-0.010009839,
-0.04401236,0.07222551,0.013361173,0.0,0.0,
-0.016628232,0.0,-0.0304609,0.0,0.02079009,
-0.0708516,0.04060249,-0.06955115,0.0,-0.046392996,
0.0,-0.10308644,-0.09854772,-0.031872798,0.030995863,
-0.026017742,-0.07668748,-0.050805982,0.02721765,0.0,
0.0,-0.090519704,-0.01758697,0.0346893,0.053580746,
0.0,-0.072328,-0.04327896,-0.06685314,0.025138129,
0.011194965,0.01589508,-0.072971456,0.0387413,0.070084214,
-0.06471313,-0.04087276,0.0,-0.053375896,0.035702415,
0.033494018,-0.054970954,0.0,0.032665167,-0.022873636,
-0.08874635,-0.06424886,0.06939095,-0.0440527,-0.015007142,
0.028879117,-0.027125986,-0.088654764,0.0,0.045333292,
0.05826436,0.06455913,0.0,-0.033048056,0.078471966,
0.010676464,-0.09516416,-0.059159853,0.0,-0.033004574,
-0.021164885,0.016661756,0.05555054,-0.04091325,0.026344413,
0.04085242,0.029255187,-0.011326242,-0.045072254,0.013965348,
-0.07783946,0.04174858,0.022649715,0.014183603,0.0296848,
0.024623765,0.026648013,0.051755175,-0.03949847,0.014544864,
-0.056634374,-0.02056681,0.075723104,-0.019077724,-0.0670168,
0.0,-0.054648194,0.077029034,-0.05276003,0.032776274,
-0.019856114,-0.047108248,-0.035752796,-0.022516968,0.061715286,
-0.12293981,-0.017691344,-0.010465675,0.0,-0.03442363,
